V<=0.55 + lex cov>=0.6 top1              k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.55, lex cov>=0.6 top1 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.55 + lex cov>=0.6 top2              k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.55, lex cov>=0.6 top2 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.55 + lex cov>=0.8 top1              k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.55, lex cov>=0.8 top1 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.55 + lex cov>=0.8 top2              k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.55, lex cov>=0.8 top2 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.55 + lex cov>=1.0 top1              k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.55, lex cov>=1.0 top1 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.55 + lex cov>=1.0 top2              k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.55, lex cov>=1.0 top2 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.6 + lex cov>=0.6 top1               k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.6, lex cov>=0.6 top1 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.6 + lex cov>=0.6 top2               k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.6, lex cov>=0.6 top2 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.6 + lex cov>=0.8 top1               k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.6, lex cov>=0.8 top1 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.6 + lex cov>=0.8 top2               k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.6, lex cov>=0.8 top2 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.6 + lex cov>=1.0 top1               k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.6, lex cov>=1.0 top1 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
V<=0.6 + lex cov>=1.0 top2               k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.960 top1=24/25 | all F1=0.877
lexfull-first, V<=0.6, lex cov>=1.0 top2 k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.935 top1=29/31 | tokens F1=1.000 top1=25/25 | all F1=0.877
lexfull-first, V<=0.55, lex cov>=0.8 top1 k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.871 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.843
lexfull-first, V<=0.55, lex cov>=1.0 top1 k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.871 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.843
lexfull-first, V<=0.55, lex cov>=0.6 top1 k=2: golden F1=0.747 top1=44/48 rej=12/12 | names F1=0.871 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.841
V<=0.55 + lex cov>=0.8 top1              k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.849 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.837
V<=0.55 + lex cov>=1.0 top1              k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.849 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.837
V<=0.55 + lex cov>=0.6 top1              k=2: golden F1=0.747 top1=44/48 rej=12/12 | names F1=0.849 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.835
V<=0.55 + lex cov>=0.6 top2              k=2: golden F1=0.753 top1=44/48 rej=12/12 | names F1=0.839 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.835
lexfull-first, V<=0.55, lex cov>=0.6 top2 k=2: golden F1=0.753 top1=44/48 rej=12/12 | names F1=0.839 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.835
V<=0.55 + lex cov>=0.8 top2              k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.839 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.833
lexfull-first, V<=0.55, lex cov>=0.8 top2 k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.839 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.833
V<=0.55 + lex cov>=1.0 top2              k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.839 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.833
lexfull-first, V<=0.55, lex cov>=1.0 top2 k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.839 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.833
lexfull-first, V<=0.6, lex cov>=0.8 top1 k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.817 top1=29/31 | tokens F1=0.973 top1=25/25 | all F1=0.809
lexfull-first, V<=0.6, lex cov>=1.0 top1 k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.817 top1=29/31 | tokens F1=0.973 top1=25/25 | all F1=0.809
lexfull-first, V<=0.6, lex cov>=0.6 top1 k=2: golden F1=0.715 top1=44/48 rej=12/12 | names F1=0.817 top1=29/31 | tokens F1=0.973 top1=25/25 | all F1=0.808
V<=0.55 + lex cov>=0.8 top1              k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.833 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.807
lexfull-first, V<=0.55, lex cov>=0.8 top1 k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.833 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.807
V<=0.55 + lex cov>=1.0 top1              k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.833 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.807
lexfull-first, V<=0.55, lex cov>=1.0 top1 k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.833 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.807
V<=0.55 + lex cov>=0.6 top1              k=3: golden F1=0.693 top1=44/48 rej=12/12 | names F1=0.833 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.805
lexfull-first, V<=0.55, lex cov>=0.6 top1 k=3: golden F1=0.693 top1=44/48 rej=12/12 | names F1=0.833 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.805
